name,st_abbrev,dist,party,year,ccus_score,repvotesmajorpercent
Donald Young,AK,1,R,2007,88,58.57
Josiah Bonner,AL,1,R,2007,85,68.16
Terry Everett,AL,2,R,2007,83,69.54000000000001
Michael Rogers,AL,3,R,2007,90,60.72
Robert Aderholt,AL,4,R,2007,79,70.26000000000001
Robert Cramer,AL,5,D,2007,74,0
Spencer Bachus,AL,6,R,2007,79,100
Artur Davis,AL,7,D,2007,70,0
Robert Marion Berry,AR,1,D,2007,55,30.74
Victor Snyder,AR,2,D,2007,60,39.47
John Boozman,AR,3,R,2007,90,62.23
Mike Ross,AR,4,D,2007,70,25.27
Richard Renzi,AZ,1,R,2007,95,54.36
Trent Franks,AZ,2,R,2007,70,60.11
John Shadegg,AZ,3,R,2007,70,60.79
Ed Pastor,AZ,4,D,2007,47,24.81
Harry,AZ,5,D,2007,60,47.95
Jeff Flake,AZ,6,R,2007,68,100
R,AZ,7,D,2007,50,36.66
Gabrielle,AZ,8,D,2007,61,43.69
Michael Thompson,CA,1,D,2007,55,30.44
Walter Herger,CA,2,R,2007,80,66.41
Daniel Lungren,CA,3,R,2007,83,61.12
John Doolittle,CA,4,R,2007,85,51.68
Doris Matsui,CA,5,D,2007,55,24.94
Lynn Woolsey,CA,6,D,2007,40,27.11
George Miller,CA,7,D,2007,42,0
Nancy Pelosi,CA,8,D,2007,22,11.77
Barbara Lee,CA,9,D,2007,45,11.05
Ellen Tauscher,CA,10,D,2007,55,33.55
,CA,11,D,2007,50,46.73
Tom Lantos,CA,12,D,2007,63,23.95
Pete Fortney Stark,CA,13,D,2007,47,25.11
Anna Eshoo,CA,14,D,2007,55,25.41
Michael Honda,CA,15,D,2007,58,27.67
Zoe Lofgren,CA,16,D,2007,55,27.29
Sam Farr,CA,17,D,2007,55,22.93
Dennis Cardoza,CA,18,D,2007,63,34.52
George Radanovich,CA,19,R,2007,68,60.58
Jim Costa,CA,20,D,2007,65,0
Devin Nunes,CA,21,R,2007,79,69.03
Kevin McCarthy,CA,22,R,2007,85,70.7
Lois Capps,CA,23,D,2007,55,34.83
Elton Gallegly,CA,24,R,2007,89,62.03
Howard McKeon,CA,25,R,2007,80,62.7
David Dreier,CA,26,R,2007,85,60.05
Brad Sherman,CA,27,D,2007,50,31.23
Howard Berman,CA,28,D,2007,53,20.53
Adam Schiff,CA,29,D,2007,60,30.17
Henry Waxman,CA,30,D,2007,53,26.98
Xavier Becerra,CA,31,D,2007,58,0
Hilda Solis,CA,32,D,2007,50,0
Diane Watson,CA,33,D,2007,47,100
Lucille Roybal-Allard,CA,34,D,2007,55,23.2
Maxine Waters,CA,35,D,2007,42,0
Jane Harman,CA,36,D,2007,56,33.5
Laura,CA,37,D,2007,67,0
Grace Flores Napolitano,CA,38,D,2007,45,24.67
Linda S,CA,39,D,2007,55,34.13
Edward Royce,CA,40,R,2007,70,68.51000000000001
Jerry Lewis,CA,41,R,2007,80,66.93000000000001
Gary Miller,CA,42,R,2007,89,100
Joe Baca,CA,43,D,2007,55,35.51
Ken Calvert,CA,44,R,2007,89,61.83
Mary Whitaker Bono,CA,45,R,2007,89,60.66
Dana Rohrabacher,CA,46,R,2007,75,61.88
Loretta Sanchez,CA,47,D,2007,60,37.67
